Name,Position,Height,Weight,Career,Team,Game,First Publish,TimeAve,ShootingRateAve,HitAve,NumberofhandsAve,ThreeRateAve,ThreeHitAve,ThreeNumAve,FoulRateAve,FoulHitAve,FoulNumAve,ReboundsAve,OffRebAve,DefRebAve,AssistsAve,StealAve,BlockAve,TurnoverAve,PersonalFoulAve,PointsAve,WinSum,LoseSum
Kelenna David Azubuike,后卫,1.96,100,5,2,208,84,24.2,45.9%,3.9,8.4,40.9%,1.0,2.5,77.0%,1.8,2.3,4.0,1.2,2.8,1.1,0.6,0.5,1.0,2.0,10.5,99,109
Gustavo Alfonso Ayon,中锋,2.08,113,3,4,135,41,16.7,53.6%,2.1,3.9,0.0%,0.0,0.0,50.4%,0.5,1.0,4.4,1.4,3.0,1.3,0.7,0.5,0.9,2.0,4.7,47,88
Dennis Wade Awtrey,中锋,2.08,107,12,6,733, ,19.3,45.9%,1.9,4.1, , , ,65.2%,1.0,1.6,4.6, , ,2.0, , , ,2.3,4.8,,
William Avery,后卫,1.88,89,3,1,142,1,8.5,33.0%,1.0,2.9,25.5%,0.3,1.1,71.4%,0.5,0.6,0.7,0.1,0.5,1.4,0.2,0.0,0.7,0.9,2.7,86,56
William Rodney Averitt,后卫,1.85,77,2,2,130, ,17.1,39.2%,3.3,8.5, , , ,71.3%,1.7,2.4,1.2,0.3,1.0,2.5,0.5,0.1, ,1.9,8.3,,
Anthony Avent,前锋,2.06,107,6,5,352,156,19.1,40.3%,2.3,5.7,0.0%,0.0,0.0,68.6%,0.9,1.4,4.5,1.6,2.9,0.8,0.5,0.6,1.2,2.3,5.6,140,212
Ken Austin,前锋,2.06,93,1,1,7,0,4.0,46.2%,0.9,1.9, ,0.0,0.0, ,0.0,0.0,0.4,0.3,0.1,0.1,0.1,0.1,0.4,1.0,1.7,,
John W. Austin,后卫,1.83,77,1,1,4, ,15.3,22.7%,1.3,5.5, , , ,81.3%,3.3,4.0,1.8, , ,1.0, , , ,3.0,5.8,,
Isaac Edward Austin,中锋,2.08,116,9,8,432,166,19.3,44.6%,3.0,6.7,17.6%,0.0,0.1,67.0%,1.6,2.4,4.7,1.4,3.3,1.2,0.5,0.5,1.6,2.2,7.6,227,205
James Dale Augustine,前锋,2.08,107,2,1,27,0,5.8,51.4%,0.7,1.4, ,0.0,0.0,50.0%,0.1,0.3,1.2,0.6,0.6,0.1,0.2,0.1,0.2,0.7,1.6,18,9
Darryl Gerard Augustin Jr.,后卫,1.83,83,10,8,668,196,23.6,40.3%,3.1,7.7,37.2%,1.2,3.3,86.1%,2.1,2.5,1.8,0.3,1.5,3.8,0.6,0.0,1.5,1.5,9.5,312,356
Stacey Orlando Augmon,前锋-后卫,1.98,93,15,6,1001,472,21.6,46.9%,3.0,6.5,15.2%,0.0,0.1,72.8%,1.9,2.6,3.2,1.3,1.9,1.6,1.0,0.3,1.2,1.7,8.0,564,437
Chester J. Aubuchon Jr.,后卫,1.78,62,1,1,30, , ,25.3%,0.8,3.0, , , ,54.3%,0.6,1.2, , , ,0.7, , , ,1.5,2.2,,
Alvin A. Attles Jr.,后卫,1.83,79,11,2,711, ,25.1,45.1%,3.5,7.8, , , ,63.2%,1.9,3.0,3.5, , ,3.5, , , ,3.4,8.9,,
Kenneth Lavon Atkins,后卫,1.80,73,11,8,695,326,24.9,41.2%,3.6,8.7,36.4%,1.3,3.7,77.2%,1.4,1.8,1.7,0.3,1.4,3.4,0.7,0.1,1.5,1.8,9.9,337,358
Richard E. Atha,后卫,1.88,86,2,2,43, ,10.4,39.3%,1.2,3.1, , , ,79.5%,0.7,0.9,1.5, , ,1.2, , , ,1.5,3.2,,
Donald A. Asmonga,后卫,1.88,84,1,1,7, ,6.6,13.3%,0.3,2.1, , , ,100.0%,0.1,0.1,0.1, , ,0.7, , , ,1.7,0.7,,
Keith Bernard Askins,后卫-前锋,2.01,89,9,1,486,80,16.4,40.1%,1.4,3.5,35.5%,0.6,1.6,71.7%,0.5,0.6,2.9,1.1,1.9,0.8,0.6,0.3,0.7,2.3,3.8,255,231
Vincent Jerome Askew,后卫-前锋,1.98,95,9,8,467,27,20.0,48.0%,2.6,5.4,30.0%,0.2,0.5,75.4%,1.7,2.3,2.5,0.9,1.7,2.2,0.7,0.2,1.1,2.1,7.1,308,159
Omer Faruk Asik,中锋,2.13,116,8,3,455,262,19.9,52.9%,2.1,3.9,0.0%,0.0,0.0,55.4%,1.3,2.3,7.3,2.3,5.0,0.6,0.4,0.7,1.2,2.0,5.4,275,180
John Charles Arthurs,后卫,1.93,84,1,1,11, ,7.8,34.3%,1.1,3.2, , , ,73.3%,1.0,1.4,1.3, , ,1.5, , , ,1.4,3.2,,
Darrell Arthur,前锋,2.06,107,9,2,487,104,18.1,44.3%,2.8,6.3,34.9%,0.3,0.9,76.6%,0.7,1.0,3.6,1.1,2.5,0.8,0.6,0.6,0.8,2.5,6.6,219,268
Carlos Alberto Arroyo,后卫,1.88,92,9,7,569,190,18.7,43.8%,2.5,5.7,33.8%,0.2,0.7,80.6%,1.4,1.7,1.7,0.4,1.3,3.1,0.5,0.0,1.2,1.5,6.6,330,239
Robert Louis Arnzen,前锋,1.96,93,1,1,55, ,10.8,46.2%,2.3,5.0, , , ,86.5%,0.8,0.9,2.8, , ,0.4, , , ,1.0,5.5,,
Jay Hoyland Arnette,后卫,1.88,79,3,1,114, ,10.3,36.5%,1.4,3.9, , , ,76.0%,0.9,1.1,1.0, , ,1.2, , , ,2.0,3.7,,
Hugh Jesse Arnelle,前锋,1.96,100,1,1,31, ,13.2,31.7%,1.7,5.3, , , ,62.3%,1.4,2.2,5.5, , ,0.6, , , ,1.9,4.7,,
Michel Taylor Armstrong,后卫,1.91,79,2,1,92, ,10.6,45.4%,1.7,3.8, , , ,80.0%,0.3,0.4,1.0,0.3,0.6,1.1,0.4,0.0,0.9,0.7,3.8,,
Hilton A. Armstrong Jr.,前锋-中锋,2.11,107,6,6,292,40,11.6,50.1%,1.2,2.4,28.6%,0.0,0.0,58.2%,0.6,1.1,2.6,1.0,1.6,0.3,0.3,0.5,0.8,1.9,3.0,149,143
Darrell Eugene Armstrong,后卫,1.83,77,14,5,840,337,23.7,40.9%,3.2,7.7,33.4%,1.1,3.3,87.1%,1.7,2.0,2.7,0.8,1.9,4.0,1.3,0.1,1.9,1.7,9.2,443,397
Paul Carlyle Armstrong,后卫-前锋,1.80,77,3,1,153, , ,29.5%,2.3,7.7, , , ,69.2%,2.3,3.3, , , ,2.3, , , ,3.0,6.8,,
Brandon Simone Armstrong,后卫,1.96,85,3,1,108,0,6.5,35.2%,0.9,2.7,33.3%,0.2,0.7,60.0%,0.1,0.2,0.6,0.2,0.4,0.2,0.2,0.0,0.3,0.8,2.2,66,42
Bob Armstrong,中锋-前锋,2.03,100,1,1,19, ,5.8,29.7%,0.6,1.9, , , ,50.0%,0.3,0.6,2.1, , ,0.2, , , ,0.7,1.5,,
Benjamin Roy Armstrong Jr.,后卫,1.88,79,11,4,747,341,23.8,47.7%,3.8,8.0,42.5%,0.6,1.4,85.6%,1.6,1.9,1.8,0.3,1.5,3.3,0.7,0.1,1.2,1.5,9.8,456,291
Joseph Arlauckas,前锋,2.06,104,1,1,9,0,9.4,32.6%,1.6,4.8, ,0.0,0.0,75.0%,0.7,0.9,1.4,0.7,0.8,0.9,0.3,0.4,0.4,1.8,3.8,1,8
Paul Joseph Arizin,前锋-后卫,1.93,86,10,1,713, , ,42.1%,7.9,18.7, , , ,81.0%,7.0,8.7,8.6, , ,2.3, , , ,3.9,22.8,,
Trevor Anthony Ariza,前锋,2.03,98,14,6,895,594,29.3,42.6%,3.8,8.9,35.2%,1.3,3.8,71.9%,1.6,2.2,4.8,1.0,3.8,2.1,1.5,0.3,1.4,2.0,10.5,504,391
Gilbert Jay Arenas,后卫,1.91,87,11,4,552,455,35.1,42.1%,6.7,16.0,35.1%,2.0,5.6,80.3%,5.2,6.5,3.9,0.8,3.1,5.3,1.6,0.2,3.2,3.0,20.7,253,299
Jimmie Lee Ard,前锋-中锋,2.03,98,4,2,218, ,12.2,36.1%,1.4,3.8, , , ,69.5%,0.8,1.1,3.8,1.1,2.7,0.7,0.2,0.4, ,1.8,3.5,,
Nathaniel Archibald,后卫,1.85,68,13,6,876, ,35.6,46.7%,6.7,14.4, , , ,81.0%,5.3,6.6,2.3, , ,7.4, , , ,2.3,18.8,,
Robert Michael Archibald,前锋,2.11,113,2,4,44,3,7.5,28.3%,0.3,1.2, ,0.0,0.0,42.9%,0.5,1.1,1.6,0.6,1.0,0.4,0.3,0.1,0.4,1.3,1.2,17,27
Stacey Arceneaux,前锋,1.93,95,1,1,7, ,15.7,39.3%,3.1,8.0, , , ,46.2%,0.9,1.9,4.6, , ,0.6, , , ,1.4,7.1,,
Rafael Paulo Araujo,中锋,2.11,127,3,2,139,75,11.4,40.5%,1.1,2.8,25.0%,0.0,0.0,67.9%,0.5,0.8,2.8,0.9,1.9,0.3,0.4,0.1,0.8,2.2,2.8,58,81
Joel Vincent Anthony,中锋,2.06,111,10,4,490,110,14.4,51.3%,0.8,1.6, ,0.0,0.0,66.2%,0.5,0.8,2.8,1.1,1.6,0.2,0.3,1.1,0.5,1.7,2.2,305,185
Gregory Carleton Anthony,后卫,1.83,80,11,6,757,227,20.9,40.3%,2.5,6.3,34.9%,0.8,2.3,73.3%,1.4,1.9,1.9,0.4,1.5,4.0,1.2,0.1,1.4,1.7,7.3,426,331
Carmelo K. Anthony,前锋,2.03,109,15,3,997,997,36.1,45.1%,8.8,19.5,34.7%,1.2,3.5,81.3%,5.8,7.2,6.6,1.8,4.8,3.1,1.1,0.5,2.8,2.9,24.6,542,455
Christopher John Anstey,中锋,2.13,113,3,2,155,23,13.9,41.3%,2.0,4.7,13.8%,0.0,0.2,75.5%,1.3,1.7,3.4,1.1,2.3,0.8,0.5,0.4,0.9,2.4,5.2,38,117
Michael Antonio Ansley,前锋,2.01,102,3,3,149,6,14.4,51.3%,2.6,5.0, ,0.0,0.0,72.2%,1.7,2.4,4.2,2.1,2.1,0.4,0.3,0.2,0.6,1.9,6.9,46,103
Donald Robert Anielak,前锋,2.01,86,1,1,1, ,10.0,0.0%,0.0,4.0, , , ,75.0%,3.0,4.0,2.0, , ,0.0, , , ,0.0,3.0,,
Martynas Andriuskevicius,中锋,2.18,109,1,1,6,0,1.5,0.0%,0.0,0.2, ,0.0,0.0, ,0.0,0.0,0.7,0.2,0.5,0.0,0.3,0.0,0.0,0.2,0.0,1,5
Walter Charles Anderzunas,中锋-前锋,2.01,100,1,1,44, ,8.4,39.2%,1.5,3.8, , , ,63.0%,0.7,1.0,1.9, , ,0.2, , , ,1.1,3.6,,
Willie Lloyd Anderson Jr.,后卫-前锋,2.01,86,9,4,555,432,28.8,47.1%,5.1,10.7,26.6%,0.2,0.7,78.6%,1.9,2.4,3.8,1.0,2.8,3.8,1.1,0.6,2.1,2.7,12.2,309,246
Shandon Rodriguez Anderson,前锋-后卫,1.98,94,10,4,719,226,22.2,45.7%,2.8,6.1,31.6%,0.4,1.4,73.9%,1.4,1.9,3.1,0.8,2.3,1.4,0.8,0.3,1.3,2.0,7.4,415,304
Ryan Anderson,前锋,2.08,109,10,4,577,251,26.6,42.3%,4.5,10.7,38.2%,2.2,5.6,86.0%,1.9,2.2,5.4,2.0,3.4,0.9,0.5,0.4,1.0,2.0,13.1,316,261
Ronald Gene Anderson,前锋-后卫,2.01,98,10,5,664,79,22.8,47.1%,4.4,9.4,28.7%,0.2,0.6,81.4%,1.6,2.0,3.5,1.3,2.2,1.4,0.7,0.1,1.1,1.5,10.6, , 
Richard Andrew Anderson,前锋-中锋,2.08,109,6,5,407,30,14.7,41.2%,2.2,5.4,33.3%,0.4,1.1,76.2%,0.7,0.9,3.5,1.1,2.4,1.5,0.6,0.2,0.9,1.7,5.6, , 
Nelison Anderson,前锋-后卫,1.98,93,13,3,800,636,31.2,44.6%,5.5,12.4,35.6%,1.3,3.7,66.7%,2.1,3.1,5.1,1.3,3.8,2.6,1.4,0.5,1.7,1.9,14.4,420,380
Michael Levin Anderson,后卫,1.80,83,1,1,36,12,20.3,41.7%,2.0,4.9,14.3%,0.0,0.2,69.5%,1.6,2.3,2.5,1.2,1.3,4.3,1.2,0.1,2.3,1.8,5.7,8,28
Keith Kim Anderson,前锋,2.01,91,1,1,21, ,10.7,31.2%,1.1,3.7, , , ,53.6%,0.7,1.3,2.1,0.8,1.3,0.7,0.2,0.2,1.0,2.0,3.0,,
Kenneth Anderson,后卫,1.83,76,14,9,858,693,30.1,42.1%,4.7,11.1,34.6%,0.6,1.8,79.0%,2.6,3.3,3.1,0.8,2.3,6.1,1.5,0.1,2.1,2.3,12.6,424,434
Jerome Anderson,后卫,1.96,88,2,2,49, ,5.9,49.0%,1.0,2.1, , , ,69.4%,0.5,0.7,0.5,0.3,0.2,0.3,0.2,0.1, ,1.0,2.6,,
James Lee Anderson,后卫,1.98,98,5,4,247,83,17.5,41.1%,2.1,5.2,32.1%,0.8,2.5,75.5%,0.7,0.9,2.3,0.4,1.8,1.2,0.5,0.2,0.9,1.2,5.8,121,126
Mitchell Keith Anderson,前锋,2.03,88,3,2,157,2,12.5,46.5%,1.9,4.2,0.0%,0.0,0.1,55.8%,0.9,1.6,2.8,1.2,1.6,0.7,0.7,0.2,0.8,1.6,4.8,,
Gregory Wayne Anderson,前锋-中锋,2.08,104,10,6,680,315,20.6,49.2%,3.0,6.0,8.7%,0.0,0.0,55.7%,1.4,2.5,6.2,2.1,4.1,0.6,0.7,0.9,1.4,2.6,7.3,264,416
Eric Walfred Anderson,前锋,2.06,100,2,1,27,0,3.1,34.3%,0.4,1.3,100.0%,0.1,0.1,59.3%,0.6,1.0,1.1,0.4,0.7,0.2,0.1,0.1,0.3,0.9,1.6,24,3
Dwight Anthony Anderson,后卫,1.91,84,1,1,5,0,6.6,50.0%,1.4,2.8, ,0.0,0.0,70.0%,1.4,2.0,0.4,0.0,0.4,0.6,0.2,0.0,1.0,1.4,4.2,,
Derek Lamont Anderson,后卫,1.96,88,11,7,615,390,29.2,40.8%,3.9,9.6,34.1%,1.0,3.1,85.3%,3.0,3.6,3.2,0.7,2.5,3.4,1.1,0.1,1.7,2.0,12.0,300,315
Daniel Edward Anderson,后卫,1.88,84,2,1,95, ,11.2,47.2%,1.4,3.0, , , ,84.6%,0.8,1.0,1.0,0.2,0.7,1.7,0.4,0.0, ,1.1,3.7,,
Daniel W. Anderson,中锋,2.08,104,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford V. Anderson,后卫-前锋,1.88,91,3,3,81, ,7.2,35.1%,0.9,2.5, , , ,59.3%,1.3,2.2,1.3, , ,0.8, , , ,1.3,3.0,,
Antonio Andrew Anderson,后卫,1.98,98,1,1,1,0,15.0,33.3%,1.0,3.0, ,0.0,0.0, ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,1
Andrew Emil Anderson,后卫,1.88,83,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Jeffrey Anderson,后卫-前锋,1.98,100,8,5,330,66,20.6,40.5%,2.6,6.3,34.4%,1.0,2.9,81.6%,1.2,1.5,2.2,0.5,1.7,1.1,0.6,0.1,0.9,1.8,7.3,158,172
David Andersen,中锋,2.11,111,2,3,103,0,12.3,44.0%,2.0,4.5,34.7%,0.3,1.0,67.4%,0.6,0.9,2.8,0.7,2.1,0.6,0.2,0.2,0.6,1.5,4.9,50,53
Chris Andersen,前锋,2.08,111,15,5,695,45,17.7,53.2%,1.9,3.6,22.1%,0.0,0.1,65.4%,1.5,2.3,5.0,1.7,3.3,0.5,0.4,1.4,0.7,1.9,5.4,367,328
Robert H. Anderegg,前锋-后卫,1.91,91,1,1,33, ,11.3,38.5%,1.7,4.3, , , ,54.8%,0.7,1.3,2.1, , ,0.9, , , ,1.0,4.0,,
Louis Amundson,前锋,2.06,102,10,10,428,42,12.9,47.4%,1.5,3.2,0.0%,0.0,0.0,44.4%,0.6,1.4,3.6,1.5,2.1,0.4,0.4,0.7,0.7,2.0,3.7,215,213
Al-Farouq Aminu,前锋,2.06,98,8,4,530,289,24.2,42.6%,2.7,6.3,32.8%,0.6,1.8,72.7%,1.3,1.8,5.7,1.4,4.3,1.2,0.9,0.6,1.3,1.9,7.3,236,294
Ashraf Amaya,前锋,2.03,104,2,2,85,34,14.7,45.5%,1.6,3.4,50.0%,0.0,0.0,63.3%,1.3,2.1,4.2,1.6,2.6,0.4,0.3,0.2,0.8,2.1,4.5,22,63
John Ekwugha Amaechi,中锋-前锋,2.08,122,5,3,294,93,16.4,40.3%,2.3,5.6,7.7%,0.0,0.0,67.1%,1.7,2.6,2.6,0.8,1.8,0.8,0.3,0.3,1.3,1.7,6.2,147,147
Peter Aluma,中锋,2.08,118,1,1,2,0,2.5,50.0%,0.5,1.0, ,0.0,0.0, ,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.5,1.0,2.0,1.0,1,1
Rafer Alston,后卫,1.88,78,11,6,671,452,28.9,38.3%,3.7,9.5,35.4%,1.5,4.2,72.9%,1.3,1.8,2.8,0.4,2.5,4.8,1.2,0.2,1.8,2.1,10.1,343,328
Derrick Samuel Alston,前锋,2.11,102,3,2,139,42,19.1,48.9%,2.3,4.7,14.3%,0.0,0.1,48.7%,0.8,1.7,3.8,1.6,2.1,0.7,0.7,0.6,0.8,2.1,5.4,37,102
Morris Almond,后卫,1.98,102,3,2,38,1,9.5,38.1%,1.1,3.0,29.2%,0.2,0.6,74.3%,0.7,0.9,1.2,0.3,0.9,0.3,0.3,0.1,0.5,1.1,3.1,29,9
Darrell Wilbert Allums Jr.,前锋,2.06,100,1,1,22, ,12.5,34.3%,1.0,3.0,0.0%,0.0,0.0,59.1%,0.6,1.0,3.0,0.9,2.1,1.1,0.2,0.4,1.0,2.3,2.7,,
Lance Collin Allred,中锋,2.11,113,1,1,3,0,3.3,25.0%,0.3,1.3, ,0.0,0.0,50.0%,0.3,0.7,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.0,0,3
Odis Allison Jr.,前锋,1.98,88,1,1,36, ,4.6,21.8%,0.5,2.2, , , ,54.1%,0.9,1.7,1.3, , ,0.3, , , ,0.9,1.9,,
Willie Allen,前锋,1.98,104,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Allen Allen,后卫,1.93,97,14,3,817,441,22.1,47.5%,3.2,6.7,28.2%,0.2,0.5,70.9%,1.7,2.3,3.5,1.2,2.3,1.3,1.4,0.4,1.4,2.4,8.1,490,327
Walter Ray Allen,后卫,1.96,93,18,4,1300,1150,35.6,45.2%,6.6,14.6,40.0%,2.3,5.7,89.4%,3.4,3.8,4.1,0.9,3.1,3.4,1.1,0.2,2.1,2.2,18.9,755,545
James Randall Allen,前锋,2.03,100,2,1,70,6,11.3,44.2%,1.6,3.7,0.0%,0.0,0.1,53.3%,0.3,0.6,2.1,0.7,1.3,0.3,0.2,0.3,0.4,1.6,3.6,18,52
Malik Allen,前锋,2.08,116,10,8,478,125,15.2,43.9%,2.2,4.9,18.8%,0.0,0.0,77.8%,0.5,0.7,2.8,1.0,1.9,0.5,0.3,0.5,0.7,1.9,4.9,221,257
Lucius Oliver Allen Jr.,后卫,1.88,79,10,4,702, ,28.7,46.3%,5.5,11.9, , , ,76.0%,2.3,3.1,3.1, , ,4.5, , , ,2.6,13.4,,
Lavoy Allen,前锋,2.06,118,6,2,388,88,17.8,47.1%,2.1,4.5,13.3%,0.0,0.0,68.2%,0.5,0.7,4.8,1.8,2.9,1.0,0.3,0.6,0.7,1.8,4.8,177,211
Jerome Byron Allen,后卫,1.93,83,2,3,117,1,11.2,35.0%,1.0,2.8,31.7%,0.3,1.1,63.0%,0.6,0.9,1.1,0.3,0.8,1.7,0.4,0.1,0.9,1.1,2.9,39,78
Robert J. Allen,前锋,2.06,93,1,1,27, ,8.6,32.6%,0.5,1.6, , , ,55.6%,0.7,1.3,2.1, , ,0.4, , , ,1.0,1.8,,
Bill Allen,中锋-前锋,2.03,93,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Todd Alford,后卫,1.88,83,4,2,169,3,9.7,45.9%,1.7,3.8,32.4%,0.2,0.6,87.0%,0.8,0.9,0.9,0.1,0.7,1.0,0.5,0.1,0.5,0.7,4.4,90,79
Victor Joe Alexander,中锋-前锋,2.06,120,5,2,286,155,20.1,51.8%,3.8,7.4,28.6%,0.1,0.2,63.4%,1.1,1.8,4.8,1.6,3.3,0.9,0.5,0.6,1.3,2.5,8.9,152,134
Joe Anthony Alexander,前锋,2.03,104,2,2,67,0,11.1,41.0%,1.5,3.7,34.0%,0.2,0.7,69.8%,0.9,1.3,1.8,0.7,1.1,0.7,0.2,0.4,0.8,1.7,4.2,24,43
Gary R. Alexander,前锋,2.01,109,1,2,11,0,5.0,57.1%,0.7,1.3, ,0.0,0.0,33.3%,0.3,0.8,1.4,0.6,0.7,0.2,0.3,0.0,0.7,0.9,1.7,6,5
Courtney Jason Alexander,后卫,1.96,93,3,3,187,59,21.7,42.2%,3.5,8.3,33.9%,0.2,0.6,81.3%,1.8,2.2,2.2,0.7,1.5,1.2,0.6,0.1,1.1,2.0,9.0,88,99
Cory Lynn Alexander,后卫,1.85,84,7,4,307,35,15.8,38.9%,1.9,4.9,35.4%,0.8,2.2,75.6%,0.9,1.1,1.6,0.3,1.3,2.7,0.9,0.1,1.5,1.7,5.5,132,175
Charles Aleksinas,中锋,2.11,118,1,1,74,4,15.1,47.8%,2.2,4.6,0.0%,0.0,0.0,73.3%,0.7,1.0,3.6,1.2,2.5,0.5,0.2,0.2,1.0,2.3,5.1,,
LaMarcus Nurae Aldridge,前锋,2.11,118,12,2,816,775,34.7,48.7%,7.8,16.0,29.9%,0.1,0.4,80.4%,3.5,4.3,8.3,2.6,5.7,1.9,0.8,1.0,1.6,2.5,19.2,490,326
Cole David Aldrich,中锋,2.11,111,8,6,323,23,10.4,53.0%,1.3,2.5, ,0.0,0.0,74.6%,0.6,0.7,3.5,1.0,2.4,0.6,0.4,0.7,0.6,1.5,3.2,155,168
Gary R. Alcorn,中锋,2.06,102,2,2,78, ,10.8,29.3%,1.3,4.5, , , ,59.8%,0.7,1.2,4.2, , ,0.3, , , ,2.2,3.3,,
Mark Steven Alarie,前锋,2.03,98,5,2,325,41,16.9,47.5%,3.2,6.7,25.2%,0.1,0.4,77.5%,1.0,1.3,3.4,1.3,2.1,1.1,0.4,0.3,1.0,2.2,7.5,140,185
Makafan Solomon Alabi,中锋,2.16,114,2,1,26,0,7.0,31.4%,0.6,2.0, ,0.0,0.0,70.0%,0.3,0.4,2.3,0.8,1.5,0.2,0.2,0.4,0.3,0.6,1.5,6,20
Henry T. Akin,中锋-前锋,2.08,102,2,2,86, ,8.3,35.1%,1.5,4.3, , , ,67.6%,0.5,0.8,2.1, , ,0.5, , , ,1.5,3.5,,
Alexis Ajinca,中锋,2.13,112,7,4,293,76,13.3,50.3%,2.2,4.4,28.6%,0.0,0.1,79.7%,0.9,1.1,3.9,1.2,2.7,0.5,0.3,0.6,0.8,2.3,5.3,116,177
Matthew Alexander Aitch,前锋,2.01,104,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Ray Ainge,后卫-前锋,1.93,79,14,4,1042,508,26.6,46.9%,4.5,9.5,37.8%,1.0,2.5,84.6%,1.6,1.9,2.7,0.7,2.0,4.0,1.1,0.1,1.5,2.4,11.5, , 
Blake Ahearn,后卫,1.88,86,3,3,19,0,11.9,27.3%,1.1,4.1,29.8%,0.7,2.5,97.0%,1.7,1.7,1.2,0.1,1.1,1.2,0.4,0.0,1.2,1.4,4.6,6,13
Mark Anthony Aguirre,前锋-后卫,1.98,105,13,3,923,639,30.0,48.4%,7.8,16.1,31.2%,0.4,1.4,74.1%,4.0,5.4,5.0,1.8,3.1,3.1,0.7,0.3,2.5,2.8,20.0, , 
Maurice Darnell Ager,后卫,1.96,92,4,3,82,4,6.2,33.9%,0.8,2.3,25.0%,0.1,0.5,56.6%,0.4,0.6,0.6,0.1,0.5,0.2,0.1,0.1,0.4,0.8,2.1,48,34
Arron Augustin Afflalo,后卫,1.96,98,11,6,727,534,28.0,45.0%,4.0,9.0,38.6%,1.1,3.0,82.3%,1.9,2.3,2.9,0.5,2.5,1.9,0.5,0.2,1.2,2.0,11.1,351,376
Jeff Adrien,前锋,2.01,110,5,5,153,17,14.0,47.4%,1.7,3.6,0.0%,0.0,0.0,62.8%,1.2,1.9,4.3,1.4,2.9,0.7,0.3,0.5,0.6,1.7,4.6,43,110
Richard Leonard Adelman,后卫,1.85,79,7,5,462, ,22.6,41.5%,3.0,7.2, , , ,71.3%,1.8,2.5,2.4, , ,3.5, , , ,2.1,7.7,,
Rafael Addison,前锋-后卫,2.01,98,6,4,379,54,15.0,44.9%,2.4,5.4,28.2%,0.2,0.6,77.2%,0.7,0.9,2.1,0.7,1.4,0.9,0.4,0.2,0.7,1.8,5.8,176,203
Michael Adams,后卫,1.78,73,11,4,653,510,31.3,41.5%,5.0,12.0,33.2%,1.5,4.4,84.9%,3.3,3.9,2.9,0.6,2.3,6.4,1.7,0.1,2.1,1.8,14.7,284,369
Hassan Olawale Adams,后卫,1.93,100,2,2,73,8,7.5,53.4%,1.1,2.0,0.0%,0.0,0.0,64.3%,0.4,0.6,1.2,0.5,0.7,0.2,0.2,0.1,0.4,0.7,2.5,35,38
George Adams,前锋-后卫,1.96,95,,,,,,,,,,,,,,,,,,,,,,,,,
Donald L. Adams,前锋,1.98,95,7,5,487, ,25.5,40.2%,3.5,8.6, , , ,73.9%,1.8,2.4,5.6, , ,1.8, , , ,3.3,8.7,,
Alvan Leigh Adams,中锋-前锋,2.06,95,13,1,988, ,27.5,49.8%,5.8,11.6, , , ,78.8%,2.5,3.2,7.0,2.0,5.0,4.1,1.3,0.8, ,3.3,14.1, , 
Charles R. Acton,前锋,1.98,95,1,1,23, ,8.5,39.2%,1.3,3.2, , , ,65.5%,0.8,1.3,2.0, , ,0.5, , , ,1.5,3.3,,
Mark Richard Acres,前锋-中锋,2.11,100,6,4,375,68,16.0,50.6%,1.4,2.7,53.8%,0.0,0.0,66.5%,0.8,1.2,4.1,1.5,2.5,0.5,0.4,0.3,0.6,2.5,3.6,157,218
Donald D. Ackerman,后卫,1.83,83,1,1,28, ,7.9,22.2%,0.5,2.3, , , ,53.6%,0.5,1.0,0.5, , ,0.8, , , ,1.5,1.5,,
Alex Acker,后卫,1.96,84,2,2,30,0,7.8,37.0%,1.1,3.1,32.0%,0.3,0.8,50.0%,0.2,0.3,1.0,0.3,0.7,0.5,0.2,0.1,0.4,0.4,2.7,7,23
John Abramovic Jr.,前锋,1.91,88,2,3,56, , ,23.7%,3.6,15.3, , , ,68.6%,2.3,3.3, , , ,0.7, , , ,3.1,9.5,,
Forest Edward Able,后卫,1.91,82,1,1,1, ,1.0,0.0%,0.0,2.0, , , , ,0.0,0.0,1.0, , ,1.0, , , ,1.0,0.0,,
Thomas Craig Abernethy,前锋,2.01,100,5,3,319, ,17.0,49.2%,2.3,4.6, , , ,74.7%,1.0,1.4,3.2,1.2,2.0,1.2,0.6,0.2, ,1.6,5.6,,
Julius Shareef Abdur-Rahim,前锋,2.06,102,12,4,830,704,34.8,47.2%,6.5,13.9,29.7%,0.2,0.6,81.0%,4.8,6.0,7.5,2.3,5.3,2.5,1.0,0.8,2.6,2.8,18.1,275,555
Tariq Abdul-Wahad,前锋,1.98,101,6,4,236,145,20.4,41.7%,3.1,7.3,23.7%,0.1,0.3,70.3%,1.6,2.2,3.3,1.2,2.1,1.1,0.8,0.4,1.3,2.1,7.8,107,129
