Name,Position,Height,Weight,Career,Team,Game,First Publish,TimeAve,ShootingRateAve,HitAve,NumberofhandsAve,ThreeRateAve,ThreeHitAve,ThreeNumAve,FoulRateAve,FoulHitAve,FoulNumAve,ReboundsAve,OffRebAve,DefRebAve,AssistsAve,StealAve,BlockAve,TurnoverAve,PersonalFoulAve,PointsAve,WinSum,LoseSum
Andre Wakefield,后卫,1.91,79,2,3,81, ,7.8,35.4%,0.8,2.4, , , ,70.8%,0.6,0.9,1.0,0.3,0.7,0.9,0.2,0.0,1.0,1.0,2.3,,
Granville S. Waiters,中锋,2.11,102,5,3,249,39,10.2,45.8%,1.1,2.4,0.0%,0.0,0.0,55.9%,0.3,0.5,2.2,0.7,1.4,0.5,0.2,0.7,0.6,1.6,2.4, , 
Phillip C. Wagner,后卫,1.88,86,,,,,,,,,,,,,,,,,,,,,,,,,
Milton Wagner Jr.,后卫,1.96,84,2,2,53,5,9.4,42.2%,1.6,3.8,29.6%,0.2,0.5,87.5%,0.7,0.8,0.7,0.1,0.6,1.4,0.2,0.1,0.6,1.1,4.1,32,21
Daniel Earnest Wagner,后卫,1.83,77,1,1,11, , ,35.2%,1.7,4.9, , , ,88.6%,2.8,3.2, , , ,1.6, , , ,2.0,6.3,,
Dajuan Marquett Wagner,后卫,1.88,91,4,2,103,28,21.4,36.6%,3.4,9.4,32.1%,0.9,2.8,77.0%,1.6,2.1,1.4,0.3,1.1,1.9,0.7,0.1,1.3,2.1,9.4,38,65
Clinton B. Wager,中锋-前锋,1.98,95,1,1,63, , ,28.1%,0.9,3.2, , , ,61.7%,0.5,0.7, , , ,1.4, , , ,2.8,2.3,,
Vakeaton Quamar Wafer,后卫,1.96,95,6,7,200,14,12.4,42.0%,2.0,4.6,32.5%,0.5,1.6,75.1%,0.9,1.1,1.2,0.2,1.0,0.7,0.4,0.1,0.6,0.8,5.3,128,72
Mark A. Wade,后卫,1.80,73,2,2,12,0,10.5,15.0%,0.3,1.7,0.0%,0.0,0.2,50.0%,0.2,0.3,1.3,0.3,1.0,3.0,0.6,0.1,1.1,1.1,0.7,1,11
Dwyane Tyrone Wade,后卫,1.93,100,15,3,938,907,35.1,48.4%,8.4,17.3,28.8%,0.5,1.6,76.8%,5.8,7.6,4.8,1.2,3.6,5.6,1.6,0.9,3.3,2.3,23.0,556,382
Sun Yue,后卫,2.06,93,1,1,10,0,2.8,27.3%,0.3,1.1,0.0%,0.0,0.6, ,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.3,1.0,0.6,9,1
Tim Aaron Young,中锋,2.13,100,1,1,25,0,5.5,33.3%,0.5,1.6, ,0.0,0.0,77.8%,1.1,1.4,1.4,0.5,0.9,0.2,0.1,0.0,0.4,0.7,2.2,3,22
Thaddeus Charles Young,前锋,2.03,100,11,4,763,533,30.7,50.0%,5.9,11.7,32.9%,0.4,1.3,67.8%,1.5,2.2,5.9,2.0,3.9,1.6,1.4,0.4,1.4,2.2,13.6,324,439
Samuel David Young,前锋,1.98,100,4,3,249,52,15.9,44.2%,2.2,5.1,28.0%,0.2,0.7,74.2%,1.1,1.4,2.3,0.7,1.6,0.7,0.5,0.2,0.8,1.2,5.8,139,110
Perry Young,后卫,1.96,95,1,2,9,0,8.0,28.6%,0.7,2.3, ,0.0,0.0,50.0%,0.1,0.2,0.9,0.3,0.6,0.8,0.6,0.1,0.4,1.6,1.4,4,5
Nicholas Young,后卫,2.01,95,11,5,660,192,23.2,41.9%,4.2,9.9,37.7%,1.4,3.8,83.3%,2.0,2.4,2.0,0.4,1.6,1.0,0.6,0.2,1.0,1.9,11.8,221,439
